Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,LPD01,433.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,LPD02,433.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,LPD03,433.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,LPD04,433.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,LPD05,433.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,LPD06,433.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,LPD07,433.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,LPD08,433.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,LPD09,433.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,LPD10,433.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,LPD11,433.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,LPD12,433.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,LPD13,433.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,LPD14,433.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,LPD15,433.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,LPD16,433.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,LPD17,433.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,LPD18,433.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,LPD19,433.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,LPD20,433.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,LPD21,433.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,LPD22,433.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,LPD23,433.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,LPD24,433.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,LPD25,433.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,LPD26,433.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,LPD27,433.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,LPD28,433.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,LPD29,433.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,LPD30,433.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,LPD31,433.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,LPD32,433.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,LPD33,433.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,LPD34,433.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,LPD35,433.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,LPD36,433.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,LPD37,433.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,LPD38,434.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,LPD39,434.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,LPD40,434.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,LPD41,434.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,LPD42,434.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,LPD43,434.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,LPD44,434.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,LPD45,434.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,LPD46,434.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,LPD47,434.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,LPD48,434.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,LPD49,434.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,LPD50,434.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
51,LPD51,434.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
52,LPD52,434.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
53,LPD53,434.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
54,LPD54,434.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
55,LPD55,434.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
56,LPD56,434.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
57,LPD57,434.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
58,LPD58,434.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
59,LPD59,434.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
60,LPD60,434.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
61,LPD61,434.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
62,LPD62,434.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
63,LPD63,434.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
64,LPD64,434.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
65,LPD65,434.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,LPD66,434.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,LPD67,434.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
